time,teta,dteta,torque
0.0000,0.0000,0.0000,0.0000
0.0125,0.0393,3.1408,-0.4319
0.0250,0.0785,3.1359,-0.2349
0.0375,0.1175,3.1263,-0.0376
0.0500,0.1564,3.1118,0.1598
0.0625,0.1951,3.0925,0.3570
0.0750,0.2334,3.0684,0.5535
0.0875,0.2714,3.0396,0.7493
0.1000,0.3090,3.0061,0.9439
0.1125,0.3461,2.9680,1.1370
0.1250,0.3827,2.9253,1.3284
0.1375,0.4187,2.8781,1.5177
0.1500,0.4540,2.8265,1.7047
0.1625,0.4886,2.7705,1.8890
0.1750,0.5225,2.7102,2.0705
0.1875,0.5556,2.6457,2.2487
0.2000,0.5878,2.5772,2.4235
0.2125,0.6191,2.5047,2.5945
0.2250,0.6494,2.4283,2.7616
0.2375,0.6788,2.3482,2.9244
0.2500,0.7071,2.2645,3.0826
0.2625,0.7343,2.1773,3.2362
0.2750,0.7604,2.0867,3.3847
0.2875,0.7853,1.9929,3.5280
0.3000,0.8090,1.8960,3.6659
0.3125,0.8315,1.7962,3.7981
0.3250,0.8526,1.6936,3.9245
0.3375,0.8725,1.5885,4.0448
0.3500,0.8910,1.4808,4.1589
0.3625,0.9081,1.3709,4.2665
0.3750,0.9239,1.2589,4.3676
0.3875,0.9382,1.1449,4.4620
0.4000,0.9511,1.0292,4.5494
0.4125,0.9625,0.9119,4.6299
0.4250,0.9724,0.7932,4.7032
0.4375,0.9808,0.6732,4.7693
0.4500,0.9877,0.5522,4.8280
0.4625,0.9931,0.4304,4.8793
0.4750,0.9969,0.3079,4.9230
0.4875,0.9992,0.1849,4.9592
0.5000,1.0000,0.0617,4.9877
0.5125,0.9992,-0.0617,5.0085
0.5250,0.9969,-0.1849,5.0216
0.5375,0.9931,-0.3079,5.0269
0.5500,0.9877,-0.4304,5.0245
0.5625,0.9808,-0.5522,5.0144
0.5750,0.9724,-0.6732,4.9965
0.5875,0.9625,-0.7932,4.9709
0.6000,0.9511,-0.9119,4.9377
0.6125,0.9382,-1.0292,4.8968
0.6250,0.9239,-1.1449,4.8484
0.6375,0.9081,-1.2589,4.7925
0.6500,0.8910,-1.3709,4.7292
0.6625,0.8725,-1.4808,4.6586
0.6750,0.8526,-1.5885,4.5809
0.6875,0.8315,-1.6936,4.4961
0.7000,0.8090,-1.7962,4.4043
0.7125,0.7853,-1.8960,4.3058
0.7250,0.7604,-1.9929,4.2006
0.7375,0.7343,-2.0867,4.0889
0.7500,0.7071,-2.1773,3.9710
0.7625,0.6788,-2.2645,3.8469
0.7750,0.6494,-2.3482,3.7169
0.7875,0.6191,-2.4283,3.5811
0.8000,0.5878,-2.5047,3.4399
0.8125,0.5556,-2.5772,3.2933
0.8250,0.5225,-2.6457,3.1416
0.8375,0.4886,-2.7102,2.9851
0.8500,0.4540,-2.7705,2.8240
0.8625,0.4187,-2.8265,2.6586
0.8750,0.3827,-2.8781,2.4890
0.8875,0.3461,-2.9253,2.3156
0.9000,0.3090,-2.9680,2.1387
0.9125,0.2714,-3.0061,1.9584
0.9250,0.2334,-3.0396,1.7751
0.9375,0.1951,-3.0684,1.5891
0.9500,0.1564,-3.0925,1.4007
0.9625,0.1175,-3.1118,1.2100
0.9750,0.0785,-3.1263,1.0176
0.9875,0.0393,-3.1359,0.8235
1.0000,0.0000,-3.1408,0.6282
1.0125,-0.0393,-3.1408,0.4319
1.0250,-0.0785,-3.1359,0.2349
1.0375,-0.1175,-3.1263,0.0376
1.0500,-0.1564,-3.1117,-0.1598
1.0625,-0.1951,-3.0925,-0.3570
1.0750,-0.2334,-3.0684,-0.5535
1.0875,-0.2714,-3.0396,-0.7493
1.1000,-0.3090,-3.0061,-0.9439
1.1125,-0.3461,-2.9680,-1.1370
1.1250,-0.3827,-2.9253,-1.3284
1.1375,-0.4187,-2.8781,-1.5177
1.1500,-0.4540,-2.8264,-1.7047
1.1625,-0.4886,-2.7705,-1.8890
1.1750,-0.5225,-2.7102,-2.0705
1.1875,-0.5556,-2.6457,-2.2487
1.2000,-0.5878,-2.5772,-2.4235
1.2125,-0.6191,-2.5047,-2.5945
1.2250,-0.6494,-2.4283,-2.7616
1.2375,-0.6788,-2.3482,-2.9244
1.2500,-0.7071,-2.2645,-3.0826
1.2625,-0.7343,-2.1773,-3.2362
1.2750,-0.7604,-2.0867,-3.3847
1.2875,-0.7853,-1.9929,-3.5280
1.3000,-0.8090,-1.8960,-3.6659
1.3125,-0.8315,-1.7962,-3.7981
1.3250,-0.8526,-1.6937,-3.9245
1.3375,-0.8725,-1.5885,-4.0448
1.3500,-0.8910,-1.4808,-4.1589
1.3625,-0.9081,-1.3709,-4.2665
1.3750,-0.9239,-1.2589,-4.3676
